Date,Open,High,Low,Close,Volume,ticker
2012/10/31,166.47,167.28,166.38,166.83,4680517,GLD
2012/11/1,167.02,167.04,166.04,166.07,6017921,GLD
2012/11/2,164.45,164.47,162.3,162.6,14762270,GLD
2012/11/5,163.12,163.42,162.81,163.23,6155923,GLD
2012/11/6,163.91,166.77,163.61,166.3,16037150,GLD
2012/11/7,166.87,167.13,165.04,166.49,13193570,GLD
2012/11/8,166.14,168.16,166.12,167.99,8810585,GLD
2012/11/9,168.21,168.54,167.55,167.82,7360657,GLD
2012/11/12,168.1,168.28,167.21,167.45,5647106,GLD
2012/11/13,166.66,167.9399,166.63,167.1,6463226,GLD
2012/11/14,167.46,168.04,166.78,167.14,8510183,GLD
2012/11/15,167,167.055,165.18,166.09,10022000,GLD
2012/11/16,165.74,166.36,165.47,165.88,6942199,GLD
2012/11/19,167.75,168.16,167.38,167.87,6764264,GLD
2012/11/20,167.75,168.02,166.8401,167.39,5494404,GLD
2012/11/21,167.19,167.8199,166.97,167.56,3807885,GLD
2012/11/23,167.97,170.01,167.8,169.61,6110069,GLD
2012/11/26,169.56,169.73,169.25,169.43,5356754,GLD
2012/11/27,169.14,169.4,168.62,168.71,7313015,GLD
2012/11/28,165.43,166.84,165.385,166.55,12878620,GLD
2012/11/29,167.14,167.5,166.85,167.1817,7445914,GLD
2012/11/30,166.94,167.22,165.53,166.05,8411810,GLD
2012/12/3,166.11,166.92,166.04,166.1267,6363233,GLD
2012/12/4,164.06,164.83,163.87,164.42,10191520,GLD
2012/12/5,164.22,164.5,163.2,164.12,10646650,GLD
2012/12/6,163.72,165,163.53,164.5,7274871,GLD
2012/12/7,164.88,165.22,164.6,165.165,7289171,GLD
2012/12/10,166.11,166.16,165.715,165.8,4646459,GLD
2012/12/11,165.45,165.66,165.12,165.65,4721244,GLD
2012/12/12,166.2,166.94,165.36,165.77,14158690,GLD
2012/12/13,163.865,164.895,163.78,164.37,9326191,GLD
2012/12/14,164.17,164.48,164.02,164.13,5351588,GLD
2012/12/17,164.16,164.62,164.13,164.44,8173034,GLD
2012/12/18,164.35,164.43,160.9,162.08,23992120,GLD
